qstr_cloak_green|capa verde
qstr_Two_Handed_Weapon|Arma de Duas Mãos
qstr_Crossbow_&_Bolts|Besta e Dardos
qstr_Thrown_Weapon_&_Shie|Arma de Arremesso e Escudo
qstr_Polearm__spear_|Arma de Haste (lança)
qstr_Enhancements|Aprimoramentos
qstr_Horse|Cavalo
qstr_Enhanced_Horse|Cavalo Aprimorado
qstr_Enhanced_Armor|Armadura Aprimorada
qstr_Enhanced_Weapons|Armas Aprimoradas
qstr_Enhanced_Shield|Escudo Aprimorado
qstr_Basic_Options|Opções Básicas
qstr_You_may_choose_three|Você pode escolher três das seguintes        ^armas ou opções de aprimoramentos que irão        ^determinar seu equipamento inicial.          ^Opções adicionais a direita permitirão você         ^definir opções de sobrevivência para cada rodada.
qstr_The__Done__Button|O Botão "Pronto".
qstr_This_will_end_the_cu|Isso irá encerrar a atual apresentação e          ^retornar ao menu do torneio.^^^^
qstr_The__Settings__Butto|O Botão "Configurações".
qstr_This_will_toggle_bet|Isso irá alternar entre as opções de exibição     ^para efeitos visuais e de texto ou preferências      ^de combate.^^^
qstr_The__Character__Choo|A seleção de "Personagem".
qstr_Using_the_arrows_you|Usando as setas, você pode circular entre         ^seu personagem e cada companheiro atualmente         ^em seu grupo.^^^
qstr_The__Persistent_Bet_|A barra de "Aposta".
qstr_By_setting_this_slid|Através dessa barra deslizante você poderá        ^realizar uma aposta apropriada para cada rodada      ^do torneio, se você tiver dinheiro suficiente      ^para isso.                                        ^Nota: Isso funciona apenas para o jogador.^
qstr_The__Persistent_Team|A Barra de "Time".
qstr_By_setting_this_slide|Através dessa barra deslizante você será         ^automaticamente posto no time requisitado se         ^houver equipes suficientes para isso.  A ordem    ^dos times é vermelho, azul, verde e amarelo.      ^Nota: Isso funciona apenas para o jogador.^
qstr_The__Renown_Scaling_|A Caixa "Escalonamento de Renome".
qstr_With_this_enabled_yo|Se habilitada, lhe permitirá ganhar uma           ^quantidade de renome no torneio proporcional ao      ^seu nível e renome.  Quanto maior o seu nível     ^ou renome, menos você irá receber.                ^Nota: Isso funciona apenas para o jogador.^
qstr_The__Display_Health_|A Caixa "Barras de Saúde".
qstr_With_this_enabled_you|Se habilitada, lhe permitirá ver uma barra       ^de saúde acima da cabeça de cada participante        ^conforme a opção escolhida nas configurações      ^gerais do mod.^^
qstr_The__Always_Randomiz|A Caixa "Sempre Aleatorizar".
qstr_With_this_enabled_you_|Se habilitada, você sempre terá as opções de    ^equipamentos escolhidas aleatoriamente a cada        ^rodada.  Isso lhe permite ter uma experiência     ^mais próxima da jogabilidade do native.^^
qstr_The__Horse__Checkbox|A Caixa "Cavalo".
qstr_You_will_always_ente|Você sempre participará das lutas montado.        ^Habilitando isso, será possível marcar a opção       ^"cavalo" aprimorado, onde você receberá um        ^cavalo de guerra.^^
qstr_The__Show_Combat_Dis|A Caixa "Mostrar Tela de Combate".
qstr_Enable_this_to_see_a|Habilite isso para ver uma tela em tempo          ^real dos membros restantes de cada time, pontos      ^adquiridos e a lista dos melhores participantes   ^da rodada.^^
qstr_The__Show_Teammate_D|A Caixa "Mostrar Dano dos Membros do Time".
qstr_Enable_this_to_see_t|Habilite isso para ver o dano causado pelos       ^membros do seu time na janela de mensagens           ^durante o combate.^^^
qstr_The__Display_Awards_|A Caixa "Mostrar Recompensas em Combate".
qstr_Enable_this_to_see_w|Habilite isso para ver quando os competidores     ^recebem prêmios durante o combate.^^^^
qstr_The__Display_Points_|A Caixa "Mostrar Pontos em Combate".
qstr_Enable_this_to_see_wh|Habilite isso para ver quando os competidores    ^recebem pontos durante o combate.^^^^
qstr_The__Display_Team_Po|A Caixa "Mostrar Pontos de Time Concedidos".
qstr_Enable_this_to_see_whe|Habilite isso para ver quando cada time         ^recebe um ponto durante o combate.                  ^Nota: Essa opção vem desativada por padrão.^^^
qstr_The__Enable_Level_Sc|The 'Enable Level Scaling' Checkbox
qstr_Enable_this_to_cause|Habilite isso para fazer com que oponentes        ^genéricos na arena sejam equiparados à você,        ^de modo a melhorar a competitividade.              ^Nota: Essa opção requer que "Ajuste do Nível    ^dos Participantes" esteja ativado.^
qstr_{reg2}_denars|{reg2} denares
qstr_DEBUG_Mode_Exit|Sair do Modo DEBUG
qstr_Exit_Tournament|Sair do Torneio
qstr_Continue|Continuar
qstr_Finish|Finalizar
qstr_{s22}|{s22}
qstr_Betting_&_Rules|Apostas & Regras
qstr_Round_Standings|Classificação Rodada
qstr_Tournament_Rankings|Classificação do Torneio
qstr_Tournament_Standings|Classificação do Torneio
qstr_Round_{reg3}_Ranking|Classificação da Rodada {reg3}
qstr_{s11}|{s11}
qstr_{s12}|{s12}
qstr_{reg2}_teams_of_{reg|{reg2} times de {reg3} membros
qstr_Page_1__1_10_|Página 1 (1-10)
qstr_Page_2__11_20_|Página 2 (11-20)
qstr_Page_3__21_30_|Página 3 (21-30)
qstr_Page_4__31_40_|Página 4 (31-40)
qstr_TOURNAMENT_AWARDS|PRÊMIOS DO TORNEIO
qstr_{s25}^Swiftest_Cut^A|{s25}^Lâmina Veloz^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Fiercest_Compe|{s25}^Competidor Feroz: {reg2} nocautes^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Dominant_Prese|{s25}^Presença Dominante^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Legendary_Pres|{s25}^Presença Lendária^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Mythical_Prese|{s25}^Presença Mítica^Concedido a {s2}^+{reg1} pontos de experiência^+{reg21} renome^
qstr_{s25}^Cautious_Appro|{s25}^Aproximação Cautelosa^Concedido a {s2}^{reg21} renome^
qstr_{s25}|{s25}
qstr_Slot|Espaço
qstr_#|#
qstr_TROOP|TROPAS
qstr_ROUND_POINTS|PONTOS DA RODADA
qstr_TOTAL_POINTS|PONTOS TOTAIS
qstr_Random_teams_and_siz|Times e tamanhos aleatório
qstr_ERROR__TPE_:_An_inva|ERRO (TPE): Um vencedor inválido encontrado.  1º = {reg31}, 2º = {reg32}, 3º = {reg33}.
qstr_TOURNAMENT_WINNERS|VENCEDORES DO TORNEIO!
qstr_1st|Primeiro
qstr_Tournament_Awards|Prêmios do Torneio
qstr_{reg5}_denars|{reg5} denares
qstr_{reg6}_experience|{reg6} pontos de experiência
qstr_{reg7}_renown|{reg7} renome
qstr_Tournament_Prizes|Recompensas do Torneio
qstr_2nd|Segundo
qstr_3rd|Terceiro
qstr_City_of_{s21}|Cidade de {s21}
qstr_Mod_Arena|Modo Arena
qstr_Native_Arena|Arena do Native
qstr_{reg21}%|{reg21}%
qstr_DEBUG__TPE_Design_:_|DEBUG (TPE Design): Item "{s1}" adicionado.
qstr_DEBUG__TPE_Design_:_S|DEBUG (TPE Design): Cenário definido para a opção {reg1}.
qstr_{s21}|{s21}
qstr_DEBUG__KMT_:_Object_|DEBUG (KMT): Object clicked is {reg1}.  Value is {reg2}.
qstr_Custom_Character_Cre|Criação de Personagem Customizada
qstr_Welcome_to_the_Banne|Bem vindo ao Bannerpage, grandiosa experiência medieval!^^Antes de entrar nesse maravilhoso mundo e começar sua^jornada, por favor dedique algum tempo para criar seu personagem.^Este é um processo de criação de personagem totalmente customizável,^quero dizer, você tem que dar o máximo de liberdade criativa, certo.^Distribua corretamente seus pontos de habilidade, preste^atenção nos menus abaixo e escolha seu gênero,^(lembre-se, você está entrando numa sociedade patriarcal), a seguir ^escolha seu status social que determinará sua fama, reputação,^atributos iniciais e número de amigos. Finalmente, local inical.^Você encontrará muitas informações úteis durante o jogo no manual que^que se encontra em Diário/Conceitos. Boa sorte!
qstr_Gender|Gênero
qstr_Man|Homem
qstr_Woman|Mulher
qstr_Status|Status
qstr_Faction_Ruler|Governante de Facção
qstr_New_Independent_Rule|Novo Governante Independente
qstr_Noble__Higher_Titled|Nobre (Vassalo de Alto Título)
qstr_Noble__Lower_Titled_|Nobre (Vassalo de Baixo Título)
qstr_Noble__Freelancer_|Nobre (Cavaleiro Livre)
qstr_Commoner___Merchant|Plebeu - Mercador
qstr_Commoner___Hunter|Plebeu - Caçador
qstr_Peasant___Rebellion_|Camponês - Líder de Rebelião
qstr_Commoner___Beggar|Plebeu - Mendigo
qstr_Bandit___Leader|Bandido - Líder
qstr_Traveling_to?|Viajando para?
qstr_Sarranid_Sultanate|Sultanato Sarranide
qstr_Rhodok_Republic|República Rhodok
qstr_Northern_Lands|Terras Nórdicas
qstr_Khergit_Khanate|Khanato Khergita
qstr_Grand_Principality_o|Grande Principado Vaegir
qstr_Kingdom_of_Swadia|Sacro Império Swadiano
qstr_Of_which_faction?|De qual facção?
qstr_Taken_who_s_territor|Tomou o território de quem?
qstr_Strength:|Força:
qstr_+|+
qstr_Strength:_Every_poin|Força: Cada ponto adiciona +1 à saúde.^ As seguintes habilidades não podem^ desenvolver-se acima de 1/3 de Força:^ Pele de Ferro, Potência de Golpe,^ Potência de Arremesso, Potência de^ Tensionamento.
qstr_Agility:|Agilidade:
qstr_Agility:_Each_point_|Agilidade: Cada ponto proporciona 5^ pontos de armas e aumenta a velocidade^ da arma em 0.5%. As seguintes^ habilidades não podem desenvolver-se^ acima de 1/3 de Agilidade: Escudo,^ Atletismo, Maestria em Armas,^ Montaria, Arquearia Montada, Pilhagem.
qstr_Intelligence:|Inteligência:
qstr_Intelligence:_Every_|Inteligência: Cada ponto de resulta em^ outro ponto extra de habilidade. As^ seguintes habilidades não podem^ desenvolver-se acima de 1/3 da^ Inteligência: Instrução, Rastreamento,^ Tática,  Exploração, Detecção,^ Administração do Inventário,^ Tratamento de Feridas, Cirurgia,^ Primeiros Socorros, Engenharia,^ Persuasão.
qstr_Charisma:|Carisma:
qstr_Charisma:_Each_point|Carisma: Cada ponto aumenta o número^ máximo de membros do seu grupo em +1.^ As seguintes habilidades não podem^ desenvolver-se acima de 1/3 do^ Carisma: Liderança, Gestão de^ Prisioneiros, Barganha.
qstr_points:|pontos:
qstr_Ironflesh|Pele de Ferro
qstr_Each_point_to_this_s|Cada ponto desta habilidade aumenta^os pontos de vida em +22.^(Habilidade Pessoal)^^^^^^^^Atributo Base: Força
qstr_Power_Strike|Potência de Golpe
qstr_Each_point_to_this_sk|Cada ponto desta habilidade aumenta^o dano corpo a corpo em 8%.^(Habilidade Pessoal)^^^^^^^^Atributo Base: Força
qstr_Power_Throw|Potência de Arremesso
qstr_Each_point_to_this_ski|Cada ponto desta habilidade aumenta^o dano de arremesso em 10%.^(Habilidade Pessoal)^^^^^^^^Atributo Base: Força
qstr_Power_Draw|Potência de Tensionamento
qstr_{reg9}|{reg9}
qstr_Lets_character_use_m|Permite ao personagem utilizar melhores^ arcos. Cada ponto desta habilidade (até^ quatro pontos acima dos requisitos do^ arco) aumenta o dano feito pelos arcos^ em 14%.^(Habilidade Pessoal)^^^^^Atributo Base: Força
qstr_Weapon_Master|Maestria em Armas
qstr_{reg10}|{reg10}
qstr_Makes_it_easier_to_l|Facilita a aprendizagem das^ competências em armas e aumenta os^ limites destas competências. Os limites ^funcionam assim: 60, 100, 140, 180,^ 220, 260, 300, 340, 380, 420.^ (Habilidade Pessoal)^^^^^Atributo Base: Agilidade
qstr_{reg11}|{reg11}
qstr_Reduces_damage_to_sh|Reduz o dano aos escudos (em 8%% por^ nível de habilidade) e melhora a^ velocidade e cobertura do escudo.^(Habilidade Pessoal)^^^^^^^Atributo Base: Agilidade
qstr_Athletics|Atletismo
qstr_{reg12}|{reg12}
qstr_Improves_your_runnin|Aumenta a velocidade ao correr.^(Habilidade Pessoal)^^^^^^^^^Atributo Base: Agilidade
qstr_Riding|Montaria
qstr_{reg13}|{reg13}
qstr_Enables_you_to_ride_|Permite montar cavalos de maior nível^ de dificuldade e aumenta sua velocidade ^e manobrabilidade.^(Habilidade Pessoal)^^^^^^Atributo Base: Agilidade
qstr_Horse_Archery|Arquearia Montada
qstr_{reg14}|{reg14}
qstr_Reduces_damage_and_a|Reduz a penalização de dano e pontaria^ ao utilizar arcos e armas de arremesso^ sobre cavalos.^(Habilidade Pessoal)^^^^^^^Atributo Base: Agilidade
qstr_Looting|Pilhagem
qstr_{reg15}|{reg15}
qstr_This_skill_increases|Esta habilidade aumenta a quantidade^ obtida no saque em 10%% por nível de^ habilidade.^(Habilidade de Grupo)^^^^^^^Atributo Base: Agilidade
qstr_Trainer|Instrução
qstr_{reg16}|{reg16}
qstr_Every_day_each_hero_|Todos os dias, cada herói com esta^ habilidade adiciona experiência a todos ^os outros membro do grupo cujo nível^ seja menor que o dele/dela. A^ experiência é adquirida da seguinte^ forma: (0,4,10,16,23,30,38,46,55,65,80).^(Habilidade Pessoal)^^^^Atributo Base: Inteligência
qstr_Tracking|Rastreamento
qstr_{reg17}|{reg17}
qstr_Tracks_become_more_i|Obtêm-se mais informação sobre os^ rastros.^(Habilidade de Grupo)^^^^^^^^^Atributo Base: Inteligência
qstr_Tactics|Tática
qstr_{reg18}|{reg18}
qstr_Every_two_levels_of_|A cada dois níveis desta habilidade,^ aumenta-se a vantagem inicial de^ batalha em 1.^(Habilidade de Grupo)^^^^^^^Atributo Base: Inteligência
qstr_Path_finding|Exploração
qstr_{reg19}|{reg19}
qstr_Party_map_speed_is_i|A velocidade do grupo no mapa aumenta^ em 3%% por nível de habilidade.^(Habilidade de Grupo)^^^^^^^^Atributo Base: Inteligência
qstr_Spotting|Detecção
qstr_{reg20}|{reg20}
qstr_Party_seeing_range_i|O campo de visão do grupo aumenta em^ 10% por nível de habilidade.^(Habilidade de Grupo)^^^^^^^^Atributo Base: Inteligência
qstr_Inventory_Management|Administração do Inventário
qstr_{reg21}|{reg21}
qstr_Increases_inventory_|Aumenta a capacidade do inventário em^ +6 por nível de habilidade.^(Habilidade de Líder)^^^^^^^^Atributo Base: Inteligência
qstr_Wound_Treatment|Tratamento de Feridas
qstr_{reg22}|{reg22}
qstr_Party_healing_speed_|A velocidade de cura do grupo aumenta^ em 20% por nível de habilidade.^(Habilidade de Grupo)^^^^^^^^Atributo Base: Inteligência
qstr_Surgery|Cirurgia
qstr_{reg23}|{reg23}
qstr_Each_point_to_this_skil|Cada ponto desta habilidade adiciona^ uma probabilidade de 4%% de que um^ membro do grupo que receber um golpe^ mortal seja ferido e não morto.^(Habilidade de Grupo)^^^^^^Atributo Base: Inteligência
qstr_First_Aid|Primeiros Socorros
qstr_{reg24}|{reg24}
qstr_Heroes_regain_5%_per|Os heróis regeneram 5% por nível de^ habilidade os pontos de vida perdidos^ em combate.^(Habilidade de Grupo)^^^^^^^^Atributo Base: Inteligência
qstr_Engineer|Engenharia
qstr_{reg25}|{reg25}
qstr_This_skill_allows_yo|Esta habilidade lhe permite construir^ equipamentos de cerco e criar melhorias^ nos feudos de maneira mais eficiente.^(Habilidade de Grupo)^^^^^^^Atributo Base: Inteligência
qstr_Persuasion|Persuasão
qstr_{reg26}|{reg26}
qstr_This_skill_helps_you|Esta habilidade ajuda você a fazer^ outras pessoas aceitarem o seu ponto de^ vista. Também diminui o nível mínimo de^ relacionamento necessário para que os^ NPCs façam o que você quer.^(Habilidade Pessoal)^^^^^Atributo Base: Inteligência
qstr_Prisoner_Management|Gestão de Prisioneiros
qstr_{reg27}|{reg27}
qstr_Every_level_of_this_|Cada nível desta habilidade aumenta o^ número máximo de prisioneiros em 5.^(Habilidade de Líder)^^^^^^^Atributo Base: Carisma
qstr_Leadership|Liderança
qstr_{reg28}|{reg28}
qstr_Every_point_increase|Cada ponto aumenta o número máximo de^ tropas que você pode liderar em 5,^ aumenta a moral do grupo e reduz o^ salário das tropas em 5%.^(Habilidade de Líder)^^^^^Atributo Base: Carisma
qstr_{reg29}|{reg29}
qstr_Every_level_of_this_s|Cada nível desta habilidade reduz a^ penalização de comércio em 5%.^(Habilidade de Grupo)^^^^^^^^Atributo Base: Carisma
qstr__Raise_Strength_to_r|(Aumente Força para aumentar essa habilidade)
qstr__Raise_Agility_to_ra|(Aumente Agilidade para aumentar essa habilidade)
qstr__Raise_Intelligence_|(Aumente Inteligência para aumentar essa habilidade)
qstr__Raise_Charisma_to_r|(Aumente Carisma para aumentar essa habilidade)
qstr_Proficiencies|Proficiências
qstr_Single_Handed_Weapon|Armas de Uma Mão
qstr_{reg35}|{reg35}
qstr_Covers_usage_of_one_|Relativo ao uso de armas de ^uma mão
qstr_Double_Handed_Weapon|Armas de Duas Mãos
qstr_{reg36}|{reg36}
qstr_Covers_usage_of_two_|Relativo ao uso de armas de ^duas mãos
qstr_{reg37}|{reg37}
qstr_Covers_usage_of_pole|Relativo ao uso de armas de ^haste
qstr_Archery|Arcos
qstr_{reg38}|{reg38}
qstr_Covers_usage_of_bows|Relativo ao uso de arcos
qstr_Crossbows|Bestas
qstr_{reg39}|{reg39}
qstr_Covers_usage_of_cros|Relativo ao uso de bestas
qstr_Throwing|Armas de Arremesso
qstr_{reg40}|{reg40}
qstr_Covers_usage_of_thro|Relativo ao uso de armas de^arremesso
qstr_{reg34}|{reg34}
qstr_Back|Voltar
qstr_{s1}_has_joined_your|{s1} chegou à sua corte como ministro.
qstr_It_really_takes_cour|De fato tem que ter muita coragem para declarar independência nesses tempos díficeis. Todos logo tentaram cortar seu pescoço se você não se manter forte em sua posição. Caso pretenda permanecer no trono deve agir agora! Aumente seu direito de governar, junte seus aliados e pare de fazer inimigos por enquanto. Você deve priorizar sua renda se casar com alguém de alto nascimento, recrutar novos lordes, governar suas terras, tratar com outros reis ou enviar companheiros em missões diplomáticas.^Sua corte está localizada em {s12}. Atualmente apenas seu ministro Lezalit está lá, aguardando por ordens.^Ele pode lhe ajudar de muitas maneiras, incluindo contratar pessoas adicionais para a corte.
qstr_Name_your_kingdom_{p|Nomeie seu reino, {playername}!
qstr_{s1}_has_decided_to_|{s1} decidiu vir para o seu lado.^Ele é conhecido como um grande guerreiro e líder dos homens.^Dê um feudo a ele para não perdê-lo. Ele é tudo que você tem.
qstr_{s13}_is_dead._News_|{s13} está morto. É uma notícia que chocou a todos, mas talvez, mais do que isso, foi o fato que em seu leito de morte ele {o/a} nomeou seu successor. {s13} sussurrou em seu ouvido que havia despojado a maioria dos nobres menores de seus títulos e feudos, na verdade, o tanto que ele poderia, sem levantar um golpe. Ele disse que você deveria usar a situação para fortalecer sua posição, dando os melhores feudos aos senhores de sua escolha. Isso fortalecerá seus laços com eles, e você precisará disso. Você não deve esperar muito, porque todos estão ficando inquietos na situação atual. Fale com Lezalit, seu ministro, ele deve ser capaz de ajudá-l{o/a}.
qstr_The_king_is_dead_lon|O rei está morto, vida longa ao rei!^^{playername} é agora {o/a} governante do^{s14}!
qstr_His_Highness_{s14}_o|Sua Alteza {s14} do {s15} tomou uma decisão pela qual está denunciando {s13} e tomando seu feudo, {s12}.^Depois de consultar seus amigos {s14} decidiu conceder {s12} {ao/a} {playername}. {s14} espera que o favor seja devolvido por vínculo vitalício e lealdade ao {s15}. Você ouviu que {s13} não aceitou as notícias alegremente e disse publicamente que este dia nunca será esquecido e que a justiça será feita.
qstr_Long_live_{s14}_and_|Vida longa ao {s14} e ao {s15}!^^{playername} agora reside nos grandes salões^de {s12}!
qstr__near_{s10}| perto de {s10}
qstr_Your_recruiter_who_w|Seu recrutador encarregado de recrutar {reg10} recrutas para {s13} foi derrotado{s10}!
qstr_Your_caravan_sending|Sua caravana levando {s12} para {s13} foi derrotada{s10}!
qstr_Your_messenger_on_th|Seu mensageiro indo para {s13} foi derrotado{s10}!
qstr_Your_soldiers_patrol|Seus soldados patrulhando {s13} foram derrotados{s10}!
qstr_A_scout_trying_to_ga|Um batedor tentando obter informações acerca de {s13} foi derrotado{s10}!
qstr_{s1}_of_{s3}_was_def|O {s1} do {s3} foi derrotado em batalha, mas conseguiu escapar.
qstr_{s1}_is_now_a_prison|{s1} agora é prisioneiro do {s2}.
qstr_{s54}_is_a_claimant_|{s54} é um dos pretendentes ao trono do {s56}.
qstr_nowhere|nenhum lugar
qstr_{s57}_and_{s58}|{s57} e {s58}
qstr_{reg3?She:He}|{reg3?Ela:Ele}
qstr_The_town_of_{s50}|A cidade de {s50}
qstr_The_village_of_{s50}|A aldeia de {s50}, próxima a {s52}
qstr_{s51}_belongs_to_{s1|{s51} pertence a {s1}, do {s2}, e é onde você estabeleceu sua corte.^
qstr_{s51}_belongs_to_{s1}|{s51} pertence a {s1} do {s2}, e é onde {reg0?ela:ele} estabeleceu sua corte.^
qstr_{s51}_belongs_to_{s1}_|{s51} pertence a {s1} do {s2}, e é onde {reg0?ela:ele} estabeleceu sua residência.^
qstr_{s51}_belongs_to_{s1}_o|{s51} pertence a {s1} do {s2}.^
qstr_{s51}_belongs_to_{s2|{s51} pertence ao {s2} mas ainda não foi concedido a um senhor.^
qstr_{s51}_belongs_to_{s2}|{s51} pertence ao {s2}.^
qstr_{s2}Its_market_town_|{s2}Seu mercado fica em {s8}.^
qstr_{s7}_and_{s8}|{s7} e {s8}
qstr_{s2}It_has_no_villag|{s2}Não tem aldeias.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Suas aldeias são:Sua aldeia é} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sua prosperidade é: {s50}
qstr_{s2}^^There_are_no_r|{s2}^^Não possui rotas de comércio regulares com essa cidade.
qstr_{s2}^^{reg0?Town_has|{s2}^^{reg0?A cidade estabeleceu rotas de comércio com:A cidade estabeleceu uma rota de comércio com} {s8}.
qstr_Granary|Celeiro
qstr_Palisade|Paliçada
qstr_Manor|Casa Senhorial
qstr_Mill|Moinho
qstr_Watch_tower|Torre de Vigilância
qstr_School|uma escola
qstr_Messenger_post|Posto de Mensagens
qstr_Prisoner_tower|Terre de Prisioneiros
qstr_Guild|Guilda
qstr_University|Universidade
qstr_Blacksmith|Ferreiro
qstr_{s5}|{s5}
qstr_{s5}_and_{s6}|{s5} e {s6}
qstr_It_has_no_improvemen|Esse feudo não possui melhorias.
qstr_{reg0?Its_improvemen|{reg0?as melhorias são:a melhoria é} {s6}.
qstr_a_Granary|um Celeiro
qstr_a_Palisade|uma Paliçada
qstr_a_Manor|uma Casa Senhorial
qstr_a_Mill|um Moinho
qstr_a_Watch_Tower|uma Torre de Vigilância
qstr_a_School|uma Escola
qstr_a_Messenger_Post|um Posto de Mensagens
qstr_a_Prisoner_Tower|uma Torre de Prisioneiros
qstr_a_Guild|uma Guilda
qstr_a_University|uma Universidade
qstr_a_Blacksmith|um Ferreiro
qstr_{s1}_They_are_curren|{s1} Atualmente estão construindo {s4}. A construção estará completa em {reg8} dia{reg9?s:}
qstr_{s1}^^It_has_been_re|{s1}^^Foi recentemente controlado pelo {s3},
qstr_{s1}^but_originally_|{s1}^mas originalmente pertencia ao {s3}.
qstr_{s2}^^{s1}|{s2}^^{s1}
qstr_noone|ninguém
qstr_{s9}_and_{s10}|{s9} e {s10}
qstr_{s5}_has_been_defeat|O {s5} foi derrotado!
qstr_{s7}_opened_the_gate|{s7} abriu os portões
qstr_{s7}_closed_the_gate|{s7} trancou os portões
qstr_+{reg1}_to_party_mor|+{reg1} para a moral do grupo
qstr_tactics|tática
qstr_persuasion|persuasão
qstr_leadership|liderança
qstr_intelligence|inteligência
qstr_prisoner_management|gestão de prisioneiros
qstr_trade|Barganha
qstr_weapon_mastery|maestria em armas
qstr_engineer|engenharia
qstr_inventory_management|administração do inventário
qstr_looting|pilhagem
qstr_charisma|carisma
qstr_+1_to_{s1}_after_rea|+1 de {s1} após terminada a leitura
qstr_Requires_{reg1}_inte|Requer {reg1} pontos de inteligência para ser lido
qstr_Reading_Progress:|Progresso de leitura:
qstr_{s0}^{s1}:{reg1}.{re|{s0}^{s1}:{reg1}.{reg2}%
qstr_wound_treatment|tratamento de feridas
qstr_trainer|instrução
qstr_surgery|cirurgia
qstr_spotting|detecção
qstr_first_aid|primeiros socorros
qstr_pathfinding|exploração
qstr_Keeps_notes_on_every|Mantidas as notas sobre todo o comércio relatado.^Acessível pelo menu de acampamento.
qstr_+1_to_{s1}_while_hol|+1 de {s1} enquanto estiver no inventário
qstr_Damage:_60___200b|Dano: 60 - 200b
qstr_Blast_radius:_6m|Raio de explosão: 6m
qstr_Hand_thrown_explosiv|Dispositivo explosivo arremessável.^todos os alvos dentro do raio de^explosão serão afetados.^Ótimo para defesa de castelos e cercos.
qstr_Damage:_100___350b|Dano: 100 - 350b
qstr_Blast_radius:_4m|Raio de explosão: 4m
qstr_Can_be_hand_held^or_|Pode ser usado na mão^ou posicionado no chão^G-posicionar, H-Remover^F-se proteger.
qstr_Hand_thrown_blunt_we|Arma arremessável contundente.^Devastador contra cavalos.
qstr_Semi_automatic_cross|Besta semi-automática^- 7 dardos seguidos -
qstr_See_exactly_where_yo|Veja exatamente onde atirou^e cause dano extra.
qstr_These_arrows_explode|Essas flechas explodem no impacto^e causam dano em todos os alvos^dentro da área de explosão.
qstr_These_arrows_explode_|Essas flechas explodem no impacto^e causam dano em todos os alvos^dentro da área de explosão.
qstr_Designed_to_penetrat|Projetadas para perfurar armadura de placas.
qstr_Light_so_more_can_be|Leves, podem ser carregadas^em maior quantidade.
qstr_Designed_to_penetrate|Projetadas para penetrar cota de malha.
qstr_Low_penetration_larg|Baixa penetração, grandes cortes.^ Boas para caça e^alvos sem armadura.
qstr_+1_to_{s1}|+1 de {s1}
qstr_Unique_Quest_Item|Item Único de Missão
qstr_power_strike|potência de golpe
qstr_horse_archery|arcos montada
qstr_athletics|atletismo
qstr_+1_to_{s1}_+1_to_loo|+1 de {s1}, +1 de pilhagem
qstr_engineering|engenharia
qstr_path_finding_&_spott|exploração & detecção
qstr__3_to_{s1}_+30_to_mo|-3 de {s1}, +30 de moral
qstr_Adds_6_inventory_slo|Aumenta 6 espaços no inventário.
qstr_+2_to_{s1}|+2 de {s1}
qstr_Move_here|Mover aqui
qstr_View_notes|Ver notas
qstr_Add_custom_note|Add nota custom.
qstr_Accompany|Acompanhar
qstr_killed|morto
qstr_wounded|ferido
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^Nenhum
qstr_nothing|nada
qstr_{reg0}_village{reg1?|{reg0} aldeia{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castelo{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castelo{reg1?s:} e {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} cidade{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} cidade{reg1?s:} e {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} cidade{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Seus oponentes estão prontos para lutar.
qstr_Try_to_destroy_as_ma|Tente destruir quantos alvos puder. Você tem dois minutos e meio para limpar o caminho.
qstr_Stay_behind_the_line|Mantenha-se atrás da linha e atire nos alvos. Tente não desperdiçar disparos.
qstr_Battle_Advantage_=_{|Vantagem em batalha = {reg0}.
qstr_{s9}_wants_you_to_re|O {s9} quer que você continue seguido seu exército até novo aviso.
qstr_Enlisted_as_a_{s5}_i|Servindo como {reg63?um:uma} {s5} no exército do {s13} do {s14}.
qstr_{s5}_of_the_{s7}_has|{s5} do {s7} tomou a posse de {s4}.
qstr_{s4}_has_been_awarde|{s4} foi concedido a {s5} do {s7}.
qstr_pt_in_{s11}|pt em {s11}
qstr__Being_Raided_|(Sendo assaltada)
qstr__Looted_|(Saqueada)
qstr__Under_Siege_|(Sendo sitiado)
qstr_The_village_of_{s1}_|A aldeia de {s1} foi saqueada por {s2}.
qstr_{s3}_is_no_longer_un|{s3} já não se encontra sob cerco.
qstr_Small_bands_of_enemi|Pequenos grupos inimigos foram avistados próximos a {s1}.
qstr_Enemy_patrols_spotte|Patrulhas inimigas foram avistadas próximas a {s1}.
